,from,to,pathway,type
460,WNT1,FZD1_LRP5,WNT,Secreted Signaling
461,WNT1,FZD1,WNT,Secreted Signaling
462,WNT1,LRP5,WNT,Secreted Signaling
463,WNT1,FZD10_LRP5,WNT,Secreted Signaling
464,WNT1,FZD10,WNT,Secreted Signaling
465,WNT1,LRP5,WNT,Secreted Signaling
466,WNT1,FZD2_LRP5,WNT,Secreted Signaling
467,WNT1,FZD2,WNT,Secreted Signaling
468,WNT1,LRP5,WNT,Secreted Signaling
469,WNT1,FZD3_LRP5,WNT,Secreted Signaling
470,WNT1,FZD3,WNT,Secreted Signaling
471,WNT1,LRP5,WNT,Secreted Signaling
472,WNT1,FZD4_LRP5,WNT,Secreted Signaling
473,WNT1,FZD4,WNT,Secreted Signaling
474,WNT1,LRP5,WNT,Secreted Signaling
475,WNT1,FZD5_LRP5,WNT,Secreted Signaling
476,WNT1,FZD5,WNT,Secreted Signaling
477,WNT1,LRP5,WNT,Secreted Signaling
478,WNT1,FZD6_LRP5,WNT,Secreted Signaling
479,WNT1,FZD6,WNT,Secreted Signaling
480,WNT1,LRP5,WNT,Secreted Signaling
481,WNT1,FZD7_LRP5,WNT,Secreted Signaling
482,WNT1,FZD7,WNT,Secreted Signaling
483,WNT1,LRP5,WNT,Secreted Signaling
484,WNT1,FZD8_LRP5,WNT,Secreted Signaling
485,WNT1,FZD8,WNT,Secreted Signaling
486,WNT1,LRP5,WNT,Secreted Signaling
487,WNT1,FZD9_LRP5,WNT,Secreted Signaling
488,WNT1,FZD9,WNT,Secreted Signaling
489,WNT1,LRP5,WNT,Secreted Signaling
490,WNT10A,FZD1_LRP5,WNT,Secreted Signaling
491,WNT10A,FZD1,WNT,Secreted Signaling
492,WNT10A,LRP5,WNT,Secreted Signaling
493,WNT10A,FZD10_LRP5,WNT,Secreted Signaling
494,WNT10A,FZD10,WNT,Secreted Signaling
495,WNT10A,LRP5,WNT,Secreted Signaling
496,WNT10A,FZD2_LRP5,WNT,Secreted Signaling
497,WNT10A,FZD2,WNT,Secreted Signaling
498,WNT10A,LRP5,WNT,Secreted Signaling
499,WNT10A,FZD3_LRP5,WNT,Secreted Signaling
500,WNT10A,FZD3,WNT,Secreted Signaling
501,WNT10A,LRP5,WNT,Secreted Signaling
502,WNT10A,FZD4_LRP5,WNT,Secreted Signaling
503,WNT10A,FZD4,WNT,Secreted Signaling
504,WNT10A,LRP5,WNT,Secreted Signaling
505,WNT10A,FZD5_LRP5,WNT,Secreted Signaling
506,WNT10A,FZD5,WNT,Secreted Signaling
507,WNT10A,LRP5,WNT,Secreted Signaling
508,WNT10A,FZD6_LRP5,WNT,Secreted Signaling
509,WNT10A,FZD6,WNT,Secreted Signaling
510,WNT10A,LRP5,WNT,Secreted Signaling
511,WNT10A,FZD7_LRP5,WNT,Secreted Signaling
512,WNT10A,FZD7,WNT,Secreted Signaling
513,WNT10A,LRP5,WNT,Secreted Signaling
514,WNT10A,FZD8_LRP5,WNT,Secreted Signaling
515,WNT10A,FZD8,WNT,Secreted Signaling
516,WNT10A,LRP5,WNT,Secreted Signaling
517,WNT10A,FZD9_LRP5,WNT,Secreted Signaling
518,WNT10A,FZD9,WNT,Secreted Signaling
519,WNT10A,LRP5,WNT,Secreted Signaling
520,WNT10B,FZD1_LRP5,WNT,Secreted Signaling
521,WNT10B,FZD1,WNT,Secreted Signaling
522,WNT10B,LRP5,WNT,Secreted Signaling
523,WNT10B,FZD10_LRP5,WNT,Secreted Signaling
524,WNT10B,FZD10,WNT,Secreted Signaling
525,WNT10B,LRP5,WNT,Secreted Signaling
526,WNT10B,FZD2_LRP5,WNT,Secreted Signaling
527,WNT10B,FZD2,WNT,Secreted Signaling
528,WNT10B,LRP5,WNT,Secreted Signaling
529,WNT10B,FZD3_LRP5,WNT,Secreted Signaling
530,WNT10B,FZD3,WNT,Secreted Signaling
531,WNT10B,LRP5,WNT,Secreted Signaling
532,WNT10B,FZD4_LRP5,WNT,Secreted Signaling
533,WNT10B,FZD4,WNT,Secreted Signaling
534,WNT10B,LRP5,WNT,Secreted Signaling
535,WNT10B,FZD5_LRP5,WNT,Secreted Signaling
536,WNT10B,FZD5,WNT,Secreted Signaling
537,WNT10B,LRP5,WNT,Secreted Signaling
538,WNT10B,FZD6_LRP5,WNT,Secreted Signaling
539,WNT10B,FZD6,WNT,Secreted Signaling
540,WNT10B,LRP5,WNT,Secreted Signaling
541,WNT10B,FZD7_LRP5,WNT,Secreted Signaling
542,WNT10B,FZD7,WNT,Secreted Signaling
543,WNT10B,LRP5,WNT,Secreted Signaling
544,WNT10B,FZD8_LRP5,WNT,Secreted Signaling
545,WNT10B,FZD8,WNT,Secreted Signaling
546,WNT10B,LRP5,WNT,Secreted Signaling
547,WNT10B,FZD9_LRP5,WNT,Secreted Signaling
548,WNT10B,FZD9,WNT,Secreted Signaling
549,WNT10B,LRP5,WNT,Secreted Signaling
550,WNT16,FZD1_LRP5,WNT,Secreted Signaling
551,WNT16,FZD1,WNT,Secreted Signaling
552,WNT16,LRP5,WNT,Secreted Signaling
553,WNT16,FZD10_LRP5,WNT,Secreted Signaling
554,WNT16,FZD10,WNT,Secreted Signaling
555,WNT16,LRP5,WNT,Secreted Signaling
556,WNT16,FZD2_LRP5,WNT,Secreted Signaling
557,WNT16,FZD2,WNT,Secreted Signaling
558,WNT16,LRP5,WNT,Secreted Signaling
559,WNT16,FZD3_LRP5,WNT,Secreted Signaling
560,WNT16,FZD3,WNT,Secreted Signaling
561,WNT16,LRP5,WNT,Secreted Signaling
562,WNT16,FZD4_LRP5,WNT,Secreted Signaling
563,WNT16,FZD4,WNT,Secreted Signaling
564,WNT16,LRP5,WNT,Secreted Signaling
565,WNT16,FZD5_LRP5,WNT,Secreted Signaling
566,WNT16,FZD5,WNT,Secreted Signaling
567,WNT16,LRP5,WNT,Secreted Signaling
568,WNT16,FZD6_LRP5,WNT,Secreted Signaling
569,WNT16,FZD6,WNT,Secreted Signaling
570,WNT16,LRP5,WNT,Secreted Signaling
571,WNT16,FZD7_LRP5,WNT,Secreted Signaling
572,WNT16,FZD7,WNT,Secreted Signaling
573,WNT16,LRP5,WNT,Secreted Signaling
574,WNT16,FZD8_LRP5,WNT,Secreted Signaling
575,WNT16,FZD8,WNT,Secreted Signaling
576,WNT16,LRP5,WNT,Secreted Signaling
577,WNT16,FZD9_LRP5,WNT,Secreted Signaling
578,WNT16,FZD9,WNT,Secreted Signaling
579,WNT16,LRP5,WNT,Secreted Signaling
580,WNT2,FZD1_LRP5,WNT,Secreted Signaling
581,WNT2,FZD1,WNT,Secreted Signaling
582,WNT2,LRP5,WNT,Secreted Signaling
583,WNT2,FZD10_LRP5,WNT,Secreted Signaling
584,WNT2,FZD10,WNT,Secreted Signaling
585,WNT2,LRP5,WNT,Secreted Signaling
586,WNT2,FZD2_LRP5,WNT,Secreted Signaling
587,WNT2,FZD2,WNT,Secreted Signaling
588,WNT2,LRP5,WNT,Secreted Signaling
589,WNT2,FZD3_LRP5,WNT,Secreted Signaling
590,WNT2,FZD3,WNT,Secreted Signaling
591,WNT2,LRP5,WNT,Secreted Signaling
592,WNT2,FZD4_LRP5,WNT,Secreted Signaling
593,WNT2,FZD4,WNT,Secreted Signaling
594,WNT2,LRP5,WNT,Secreted Signaling
595,WNT2,FZD5_LRP5,WNT,Secreted Signaling
596,WNT2,FZD5,WNT,Secreted Signaling
597,WNT2,LRP5,WNT,Secreted Signaling
598,WNT2,FZD6_LRP5,WNT,Secreted Signaling
599,WNT2,FZD6,WNT,Secreted Signaling
600,WNT2,LRP5,WNT,Secreted Signaling
601,WNT2,FZD7_LRP5,WNT,Secreted Signaling
602,WNT2,FZD7,WNT,Secreted Signaling
603,WNT2,LRP5,WNT,Secreted Signaling
604,WNT2,FZD8_LRP5,WNT,Secreted Signaling
605,WNT2,FZD8,WNT,Secreted Signaling
606,WNT2,LRP5,WNT,Secreted Signaling
607,WNT2,FZD9_LRP5,WNT,Secreted Signaling
608,WNT2,FZD9,WNT,Secreted Signaling
609,WNT2,LRP5,WNT,Secreted Signaling
610,WNT2B,FZD1_LRP5,WNT,Secreted Signaling
611,WNT2B,FZD1,WNT,Secreted Signaling
612,WNT2B,LRP5,WNT,Secreted Signaling
613,WNT2B,FZD10_LRP5,WNT,Secreted Signaling
614,WNT2B,FZD10,WNT,Secreted Signaling
615,WNT2B,LRP5,WNT,Secreted Signaling
616,WNT2B,FZD2_LRP5,WNT,Secreted Signaling
617,WNT2B,FZD2,WNT,Secreted Signaling
618,WNT2B,LRP5,WNT,Secreted Signaling
619,WNT2B,FZD3_LRP5,WNT,Secreted Signaling
620,WNT2B,FZD3,WNT,Secreted Signaling
621,WNT2B,LRP5,WNT,Secreted Signaling
622,WNT2B,FZD4_LRP5,WNT,Secreted Signaling
623,WNT2B,FZD4,WNT,Secreted Signaling
624,WNT2B,LRP5,WNT,Secreted Signaling
625,WNT2B,FZD5_LRP5,WNT,Secreted Signaling
626,WNT2B,FZD5,WNT,Secreted Signaling
627,WNT2B,LRP5,WNT,Secreted Signaling
628,WNT2B,FZD6_LRP5,WNT,Secreted Signaling
629,WNT2B,FZD6,WNT,Secreted Signaling
630,WNT2B,LRP5,WNT,Secreted Signaling
631,WNT2B,FZD7_LRP5,WNT,Secreted Signaling
632,WNT2B,FZD7,WNT,Secreted Signaling
633,WNT2B,LRP5,WNT,Secreted Signaling
634,WNT2B,FZD8_LRP5,WNT,Secreted Signaling
635,WNT2B,FZD8,WNT,Secreted Signaling
636,WNT2B,LRP5,WNT,Secreted Signaling
637,WNT2B,FZD9_LRP5,WNT,Secreted Signaling
638,WNT2B,FZD9,WNT,Secreted Signaling
639,WNT2B,LRP5,WNT,Secreted Signaling
640,WNT3,FZD1_LRP5,WNT,Secreted Signaling
641,WNT3,FZD1,WNT,Secreted Signaling
642,WNT3,LRP5,WNT,Secreted Signaling
643,WNT3,FZD10_LRP5,WNT,Secreted Signaling
644,WNT3,FZD10,WNT,Secreted Signaling
645,WNT3,LRP5,WNT,Secreted Signaling
646,WNT3,FZD2_LRP5,WNT,Secreted Signaling
647,WNT3,FZD2,WNT,Secreted Signaling
648,WNT3,LRP5,WNT,Secreted Signaling
649,WNT3,FZD3_LRP5,WNT,Secreted Signaling
650,WNT3,FZD3,WNT,Secreted Signaling
651,WNT3,LRP5,WNT,Secreted Signaling
652,WNT3,FZD4_LRP5,WNT,Secreted Signaling
653,WNT3,FZD4,WNT,Secreted Signaling
654,WNT3,LRP5,WNT,Secreted Signaling
655,WNT3,FZD5_LRP5,WNT,Secreted Signaling
656,WNT3,FZD5,WNT,Secreted Signaling
657,WNT3,LRP5,WNT,Secreted Signaling
658,WNT3,FZD6_LRP5,WNT,Secreted Signaling
659,WNT3,FZD6,WNT,Secreted Signaling
660,WNT3,LRP5,WNT,Secreted Signaling
661,WNT3,FZD7_LRP5,WNT,Secreted Signaling
662,WNT3,FZD7,WNT,Secreted Signaling
663,WNT3,LRP5,WNT,Secreted Signaling
664,WNT3,FZD8_LRP5,WNT,Secreted Signaling
665,WNT3,FZD8,WNT,Secreted Signaling
666,WNT3,LRP5,WNT,Secreted Signaling
667,WNT3,FZD9_LRP5,WNT,Secreted Signaling
668,WNT3,FZD9,WNT,Secreted Signaling
669,WNT3,LRP5,WNT,Secreted Signaling
670,WNT3A,FZD1_LRP5,WNT,Secreted Signaling
671,WNT3A,FZD1,WNT,Secreted Signaling
672,WNT3A,LRP5,WNT,Secreted Signaling
673,WNT3A,FZD10_LRP5,WNT,Secreted Signaling
674,WNT3A,FZD10,WNT,Secreted Signaling
675,WNT3A,LRP5,WNT,Secreted Signaling
676,WNT3A,FZD2_LRP5,WNT,Secreted Signaling
677,WNT3A,FZD2,WNT,Secreted Signaling
678,WNT3A,LRP5,WNT,Secreted Signaling
679,WNT3A,FZD3_LRP5,WNT,Secreted Signaling
680,WNT3A,FZD3,WNT,Secreted Signaling
681,WNT3A,LRP5,WNT,Secreted Signaling
682,WNT3A,FZD4_LRP5,WNT,Secreted Signaling
683,WNT3A,FZD4,WNT,Secreted Signaling
684,WNT3A,LRP5,WNT,Secreted Signaling
685,WNT3A,FZD5_LRP5,WNT,Secreted Signaling
686,WNT3A,FZD5,WNT,Secreted Signaling
687,WNT3A,LRP5,WNT,Secreted Signaling
688,WNT3A,FZD6_LRP5,WNT,Secreted Signaling
689,WNT3A,FZD6,WNT,Secreted Signaling
690,WNT3A,LRP5,WNT,Secreted Signaling
691,WNT3A,FZD7_LRP5,WNT,Secreted Signaling
692,WNT3A,FZD7,WNT,Secreted Signaling
693,WNT3A,LRP5,WNT,Secreted Signaling
694,WNT3A,FZD8_LRP5,WNT,Secreted Signaling
695,WNT3A,FZD8,WNT,Secreted Signaling
696,WNT3A,LRP5,WNT,Secreted Signaling
697,WNT3A,FZD9_LRP5,WNT,Secreted Signaling
698,WNT3A,FZD9,WNT,Secreted Signaling
699,WNT3A,LRP5,WNT,Secreted Signaling
700,WNT4,FZD1_LRP5,WNT,Secreted Signaling
701,WNT4,FZD1,WNT,Secreted Signaling
702,WNT4,LRP5,WNT,Secreted Signaling
703,WNT4,FZD10_LRP5,WNT,Secreted Signaling
704,WNT4,FZD10,WNT,Secreted Signaling
705,WNT4,LRP5,WNT,Secreted Signaling
706,WNT4,FZD2_LRP5,WNT,Secreted Signaling
707,WNT4,FZD2,WNT,Secreted Signaling
708,WNT4,LRP5,WNT,Secreted Signaling
709,WNT4,FZD3_LRP5,WNT,Secreted Signaling
710,WNT4,FZD3,WNT,Secreted Signaling
711,WNT4,LRP5,WNT,Secreted Signaling
712,WNT4,FZD4_LRP5,WNT,Secreted Signaling
713,WNT4,FZD4,WNT,Secreted Signaling
714,WNT4,LRP5,WNT,Secreted Signaling
715,WNT4,FZD5_LRP5,WNT,Secreted Signaling
716,WNT4,FZD5,WNT,Secreted Signaling
717,WNT4,LRP5,WNT,Secreted Signaling
718,WNT4,FZD6_LRP5,WNT,Secreted Signaling
719,WNT4,FZD6,WNT,Secreted Signaling
720,WNT4,LRP5,WNT,Secreted Signaling
721,WNT4,FZD7_LRP5,WNT,Secreted Signaling
722,WNT4,FZD7,WNT,Secreted Signaling
723,WNT4,LRP5,WNT,Secreted Signaling
724,WNT4,FZD8_LRP5,WNT,Secreted Signaling
725,WNT4,FZD8,WNT,Secreted Signaling
726,WNT4,LRP5,WNT,Secreted Signaling
727,WNT4,FZD9_LRP5,WNT,Secreted Signaling
728,WNT4,FZD9,WNT,Secreted Signaling
729,WNT4,LRP5,WNT,Secreted Signaling
730,WNT6,FZD1_LRP5,WNT,Secreted Signaling
731,WNT6,FZD1,WNT,Secreted Signaling
732,WNT6,LRP5,WNT,Secreted Signaling
733,WNT6,FZD10_LRP5,WNT,Secreted Signaling
734,WNT6,FZD10,WNT,Secreted Signaling
735,WNT6,LRP5,WNT,Secreted Signaling
736,WNT6,FZD2_LRP5,WNT,Secreted Signaling
737,WNT6,FZD2,WNT,Secreted Signaling
738,WNT6,LRP5,WNT,Secreted Signaling
739,WNT6,FZD3_LRP5,WNT,Secreted Signaling
740,WNT6,FZD3,WNT,Secreted Signaling
741,WNT6,LRP5,WNT,Secreted Signaling
742,WNT6,FZD4_LRP5,WNT,Secreted Signaling
743,WNT6,FZD4,WNT,Secreted Signaling
744,WNT6,LRP5,WNT,Secreted Signaling
745,WNT6,FZD5_LRP5,WNT,Secreted Signaling
746,WNT6,FZD5,WNT,Secreted Signaling
747,WNT6,LRP5,WNT,Secreted Signaling
748,WNT6,FZD6_LRP5,WNT,Secreted Signaling
749,WNT6,FZD6,WNT,Secreted Signaling
750,WNT6,LRP5,WNT,Secreted Signaling
751,WNT6,FZD7_LRP5,WNT,Secreted Signaling
752,WNT6,FZD7,WNT,Secreted Signaling
753,WNT6,LRP5,WNT,Secreted Signaling
754,WNT6,FZD8_LRP5,WNT,Secreted Signaling
755,WNT6,FZD8,WNT,Secreted Signaling
756,WNT6,LRP5,WNT,Secreted Signaling
757,WNT6,FZD9_LRP5,WNT,Secreted Signaling
758,WNT6,FZD9,WNT,Secreted Signaling
759,WNT6,LRP5,WNT,Secreted Signaling
760,WNT7A,FZD1_LRP5,WNT,Secreted Signaling
761,WNT7A,FZD1,WNT,Secreted Signaling
762,WNT7A,LRP5,WNT,Secreted Signaling
763,WNT7A,FZD10_LRP5,WNT,Secreted Signaling
764,WNT7A,FZD10,WNT,Secreted Signaling
765,WNT7A,LRP5,WNT,Secreted Signaling
766,WNT7A,FZD2_LRP5,WNT,Secreted Signaling
767,WNT7A,FZD2,WNT,Secreted Signaling
768,WNT7A,LRP5,WNT,Secreted Signaling
769,WNT7A,FZD3_LRP5,WNT,Secreted Signaling
770,WNT7A,FZD3,WNT,Secreted Signaling
771,WNT7A,LRP5,WNT,Secreted Signaling
772,WNT7A,FZD4_LRP5,WNT,Secreted Signaling
773,WNT7A,FZD4,WNT,Secreted Signaling
774,WNT7A,LRP5,WNT,Secreted Signaling
775,WNT7A,FZD5_LRP5,WNT,Secreted Signaling
776,WNT7A,FZD5,WNT,Secreted Signaling
777,WNT7A,LRP5,WNT,Secreted Signaling
778,WNT7A,FZD6_LRP5,WNT,Secreted Signaling
779,WNT7A,FZD6,WNT,Secreted Signaling
780,WNT7A,LRP5,WNT,Secreted Signaling
781,WNT7A,FZD7_LRP5,WNT,Secreted Signaling
782,WNT7A,FZD7,WNT,Secreted Signaling
783,WNT7A,LRP5,WNT,Secreted Signaling
784,WNT7A,FZD8_LRP5,WNT,Secreted Signaling
785,WNT7A,FZD8,WNT,Secreted Signaling
786,WNT7A,LRP5,WNT,Secreted Signaling
787,WNT7A,FZD9_LRP5,WNT,Secreted Signaling
788,WNT7A,FZD9,WNT,Secreted Signaling
789,WNT7A,LRP5,WNT,Secreted Signaling
790,WNT7B,FZD1_LRP5,WNT,Secreted Signaling
791,WNT7B,FZD1,WNT,Secreted Signaling
792,WNT7B,LRP5,WNT,Secreted Signaling
793,WNT7B,FZD10_LRP5,WNT,Secreted Signaling
794,WNT7B,FZD10,WNT,Secreted Signaling
795,WNT7B,LRP5,WNT,Secreted Signaling
796,WNT7B,FZD2_LRP5,WNT,Secreted Signaling
797,WNT7B,FZD2,WNT,Secreted Signaling
798,WNT7B,LRP5,WNT,Secreted Signaling
799,WNT7B,FZD3_LRP5,WNT,Secreted Signaling
800,WNT7B,FZD3,WNT,Secreted Signaling
801,WNT7B,LRP5,WNT,Secreted Signaling
802,WNT7B,FZD4_LRP5,WNT,Secreted Signaling
803,WNT7B,FZD4,WNT,Secreted Signaling
804,WNT7B,LRP5,WNT,Secreted Signaling
805,WNT7B,FZD5_LRP5,WNT,Secreted Signaling
806,WNT7B,FZD5,WNT,Secreted Signaling
807,WNT7B,LRP5,WNT,Secreted Signaling
808,WNT7B,FZD6_LRP5,WNT,Secreted Signaling
809,WNT7B,FZD6,WNT,Secreted Signaling
810,WNT7B,LRP5,WNT,Secreted Signaling
811,WNT7B,FZD7_LRP5,WNT,Secreted Signaling
812,WNT7B,FZD7,WNT,Secreted Signaling
813,WNT7B,LRP5,WNT,Secreted Signaling
814,WNT7B,FZD8_LRP5,WNT,Secreted Signaling
815,WNT7B,FZD8,WNT,Secreted Signaling
816,WNT7B,LRP5,WNT,Secreted Signaling
817,WNT7B,FZD9_LRP5,WNT,Secreted Signaling
818,WNT7B,FZD9,WNT,Secreted Signaling
819,WNT7B,LRP5,WNT,Secreted Signaling
820,WNT8A,FZD1_LRP5,WNT,Secreted Signaling
821,WNT8A,FZD1,WNT,Secreted Signaling
822,WNT8A,LRP5,WNT,Secreted Signaling
823,WNT8A,FZD10_LRP5,WNT,Secreted Signaling
824,WNT8A,FZD10,WNT,Secreted Signaling
825,WNT8A,LRP5,WNT,Secreted Signaling
826,WNT8A,FZD2_LRP5,WNT,Secreted Signaling
827,WNT8A,FZD2,WNT,Secreted Signaling
828,WNT8A,LRP5,WNT,Secreted Signaling
829,WNT8A,FZD3_LRP5,WNT,Secreted Signaling
830,WNT8A,FZD3,WNT,Secreted Signaling
831,WNT8A,LRP5,WNT,Secreted Signaling
832,WNT8A,FZD4_LRP5,WNT,Secreted Signaling
833,WNT8A,FZD4,WNT,Secreted Signaling
834,WNT8A,LRP5,WNT,Secreted Signaling
835,WNT8A,FZD5_LRP5,WNT,Secreted Signaling
836,WNT8A,FZD5,WNT,Secreted Signaling
837,WNT8A,LRP5,WNT,Secreted Signaling
838,WNT8A,FZD6_LRP5,WNT,Secreted Signaling
839,WNT8A,FZD6,WNT,Secreted Signaling
840,WNT8A,LRP5,WNT,Secreted Signaling
841,WNT8A,FZD7_LRP5,WNT,Secreted Signaling
842,WNT8A,FZD7,WNT,Secreted Signaling
843,WNT8A,LRP5,WNT,Secreted Signaling
844,WNT8A,FZD8_LRP5,WNT,Secreted Signaling
845,WNT8A,FZD8,WNT,Secreted Signaling
846,WNT8A,LRP5,WNT,Secreted Signaling
847,WNT8A,FZD9_LRP5,WNT,Secreted Signaling
848,WNT8A,FZD9,WNT,Secreted Signaling
849,WNT8A,LRP5,WNT,Secreted Signaling
850,WNT8B,FZD1_LRP5,WNT,Secreted Signaling
851,WNT8B,FZD1,WNT,Secreted Signaling
852,WNT8B,LRP5,WNT,Secreted Signaling
853,WNT8B,FZD10_LRP5,WNT,Secreted Signaling
854,WNT8B,FZD10,WNT,Secreted Signaling
855,WNT8B,LRP5,WNT,Secreted Signaling
856,WNT8B,FZD2_LRP5,WNT,Secreted Signaling
857,WNT8B,FZD2,WNT,Secreted Signaling
858,WNT8B,LRP5,WNT,Secreted Signaling
859,WNT8B,FZD3_LRP5,WNT,Secreted Signaling
860,WNT8B,FZD3,WNT,Secreted Signaling
861,WNT8B,LRP5,WNT,Secreted Signaling
862,WNT8B,FZD4_LRP5,WNT,Secreted Signaling
863,WNT8B,FZD4,WNT,Secreted Signaling
864,WNT8B,LRP5,WNT,Secreted Signaling
865,WNT8B,FZD5_LRP5,WNT,Secreted Signaling
866,WNT8B,FZD5,WNT,Secreted Signaling
867,WNT8B,LRP5,WNT,Secreted Signaling
868,WNT8B,FZD6_LRP5,WNT,Secreted Signaling
869,WNT8B,FZD6,WNT,Secreted Signaling
870,WNT8B,LRP5,WNT,Secreted Signaling
871,WNT8B,FZD7_LRP5,WNT,Secreted Signaling
872,WNT8B,FZD7,WNT,Secreted Signaling
873,WNT8B,LRP5,WNT,Secreted Signaling
874,WNT8B,FZD8_LRP5,WNT,Secreted Signaling
875,WNT8B,FZD8,WNT,Secreted Signaling
876,WNT8B,LRP5,WNT,Secreted Signaling
877,WNT8B,FZD9_LRP5,WNT,Secreted Signaling
878,WNT8B,FZD9,WNT,Secreted Signaling
879,WNT8B,LRP5,WNT,Secreted Signaling
880,WNT9A,FZD1_LRP5,WNT,Secreted Signaling
881,WNT9A,FZD1,WNT,Secreted Signaling
882,WNT9A,LRP5,WNT,Secreted Signaling
883,WNT9A,FZD10_LRP5,WNT,Secreted Signaling
884,WNT9A,FZD10,WNT,Secreted Signaling
885,WNT9A,LRP5,WNT,Secreted Signaling
886,WNT9A,FZD2_LRP5,WNT,Secreted Signaling
887,WNT9A,FZD2,WNT,Secreted Signaling
888,WNT9A,LRP5,WNT,Secreted Signaling
889,WNT9A,FZD3_LRP5,WNT,Secreted Signaling
890,WNT9A,FZD3,WNT,Secreted Signaling
891,WNT9A,LRP5,WNT,Secreted Signaling
892,WNT9A,FZD4_LRP5,WNT,Secreted Signaling
893,WNT9A,FZD4,WNT,Secreted Signaling
894,WNT9A,LRP5,WNT,Secreted Signaling
895,WNT9A,FZD5_LRP5,WNT,Secreted Signaling
896,WNT9A,FZD5,WNT,Secreted Signaling
897,WNT9A,LRP5,WNT,Secreted Signaling
898,WNT9A,FZD6_LRP5,WNT,Secreted Signaling
899,WNT9A,FZD6,WNT,Secreted Signaling
900,WNT9A,LRP5,WNT,Secreted Signaling
901,WNT9A,FZD7_LRP5,WNT,Secreted Signaling
902,WNT9A,FZD7,WNT,Secreted Signaling
903,WNT9A,LRP5,WNT,Secreted Signaling
904,WNT9A,FZD8_LRP5,WNT,Secreted Signaling
905,WNT9A,FZD8,WNT,Secreted Signaling
906,WNT9A,LRP5,WNT,Secreted Signaling
907,WNT9A,FZD9_LRP5,WNT,Secreted Signaling
908,WNT9A,FZD9,WNT,Secreted Signaling
909,WNT9A,LRP5,WNT,Secreted Signaling
910,WNT9B,FZD1_LRP5,WNT,Secreted Signaling
911,WNT9B,FZD1,WNT,Secreted Signaling
912,WNT9B,LRP5,WNT,Secreted Signaling
913,WNT9B,FZD10_LRP5,WNT,Secreted Signaling
914,WNT9B,FZD10,WNT,Secreted Signaling
915,WNT9B,LRP5,WNT,Secreted Signaling
916,WNT9B,FZD2_LRP5,WNT,Secreted Signaling
917,WNT9B,FZD2,WNT,Secreted Signaling
918,WNT9B,LRP5,WNT,Secreted Signaling
919,WNT9B,FZD3_LRP5,WNT,Secreted Signaling
920,WNT9B,FZD3,WNT,Secreted Signaling
921,WNT9B,LRP5,WNT,Secreted Signaling
922,WNT9B,FZD4_LRP5,WNT,Secreted Signaling
923,WNT9B,FZD4,WNT,Secreted Signaling
924,WNT9B,LRP5,WNT,Secreted Signaling
925,WNT9B,FZD5_LRP5,WNT,Secreted Signaling
926,WNT9B,FZD5,WNT,Secreted Signaling
927,WNT9B,LRP5,WNT,Secreted Signaling
928,WNT9B,FZD6_LRP5,WNT,Secreted Signaling
929,WNT9B,FZD6,WNT,Secreted Signaling
930,WNT9B,LRP5,WNT,Secreted Signaling
931,WNT9B,FZD7_LRP5,WNT,Secreted Signaling
932,WNT9B,FZD7,WNT,Secreted Signaling
933,WNT9B,LRP5,WNT,Secreted Signaling
934,WNT9B,FZD8_LRP5,WNT,Secreted Signaling
935,WNT9B,FZD8,WNT,Secreted Signaling
936,WNT9B,LRP5,WNT,Secreted Signaling
937,WNT9B,FZD9_LRP5,WNT,Secreted Signaling
938,WNT9B,FZD9,WNT,Secreted Signaling
939,WNT9B,LRP5,WNT,Secreted Signaling
940,WNT1,FZD1_LRP6,WNT,Secreted Signaling
941,WNT1,FZD1,WNT,Secreted Signaling
942,WNT1,LRP6,WNT,Secreted Signaling
943,WNT1,FZD10_LRP6,WNT,Secreted Signaling
944,WNT1,FZD10,WNT,Secreted Signaling
945,WNT1,LRP6,WNT,Secreted Signaling
946,WNT1,FZD2_LRP6,WNT,Secreted Signaling
947,WNT1,FZD2,WNT,Secreted Signaling
948,WNT1,LRP6,WNT,Secreted Signaling
949,WNT1,FZD3_LRP6,WNT,Secreted Signaling
950,WNT1,FZD3,WNT,Secreted Signaling
951,WNT1,LRP6,WNT,Secreted Signaling
952,WNT1,FZD4_LRP6,WNT,Secreted Signaling
953,WNT1,FZD4,WNT,Secreted Signaling
954,WNT1,LRP6,WNT,Secreted Signaling
955,WNT1,FZD5_LRP6,WNT,Secreted Signaling
956,WNT1,FZD5,WNT,Secreted Signaling
957,WNT1,LRP6,WNT,Secreted Signaling
958,WNT1,FZD6_LRP6,WNT,Secreted Signaling
959,WNT1,FZD6,WNT,Secreted Signaling
960,WNT1,LRP6,WNT,Secreted Signaling
961,WNT1,FZD7_LRP6,WNT,Secreted Signaling
962,WNT1,FZD7,WNT,Secreted Signaling
963,WNT1,LRP6,WNT,Secreted Signaling
964,WNT1,FZD8_LRP6,WNT,Secreted Signaling
965,WNT1,FZD8,WNT,Secreted Signaling
966,WNT1,LRP6,WNT,Secreted Signaling
967,WNT1,FZD9_LRP6,WNT,Secreted Signaling
968,WNT1,FZD9,WNT,Secreted Signaling
969,WNT1,LRP6,WNT,Secreted Signaling
970,WNT10A,FZD1_LRP6,WNT,Secreted Signaling
971,WNT10A,FZD1,WNT,Secreted Signaling
972,WNT10A,LRP6,WNT,Secreted Signaling
